name,price,rating,discount
Century 1.9 Litres ELectric Jug - CK 8119-J,"3,540",4,0%
Saisho 1.7 Liters Stainless Kettle 402SS,"3,540",4.3,0%
Blender + Electric Cooker + Electric Kettle + Toaster,"21,000",4,32%
Binatone Electric Jug 2 Litres - CEJ-2005 - Black,"8,890",4.4,18%
Saisho Blender +Toaster + Iron Bundle,"18,000",4.1,22%
Super Bundle Blender + Toaster + Hot Plate Bundle,"17,900",4.2,15%
Binatone CEJ-3000 Electric Jug 3Litres - Black,"12,890",4.5,16%
Insulated Vacuum Kettle,"3,719",5,50%
UKA Electric Kettle - 1.8 Litres- LB-KA1901 - Silver & Black,"4,390",4.3,32%
Microwave Oven With 20Liters + Blender-999 + Toaster,"45,500",4.2,7%
Binatone 4-Litre Electric Water Kettle SSK-4005,"19,999",4.5,27%
Saisho Blender And Jug,"13,000",4,24%
2.2Litres Electric Jug/Kettle,"5,500",0,39%
3 Litres Whistling Gas & Stove Kettle,"4,499",4.8,0%
Pyramid Electric Kettles-2.2L,"5,500",4.2,21%
Blender + Electric Cooker + Electric Kettle + Toaster,"21,000",4.2,9%
Kinelco 5.5 Litres Electric Kettle,"11,345",4.8,19%
Nexus NX-4000B Plastic Electric Kettle,"8,500",3.3,23%
Blender + Electric Cooker + Electric Kettle + Toaster,"21,000",4,9%
7 Litres Quality Stainless Steel Whistling Kettle,"11,700",4.6,0%
Folding Stainless Steel Electric Kettles-White,"3,500",4.1,47%
Russell Hobbs Stainless Quiet Boil Buckingham Kettle,"22,500",0,12%
Pyramid Quality Electric Kettle For Fast Water Boiling,"12,500",4.6,17%
Century CK-8119D 4.3-Litre Kettle - Silver/Black,"10,700",4.3,31%
Eurosonic 2.2liters Cordless Color Body Electric Kettle,"5,500",5,8%
WHISTLING STOVE KETTLE. 4 Ltrs.,"6,500",0,34%
Binatone Strong Electric Kettle Stainless Steel - 5Litres - SSK-5005,"32,000",0,22%
Stainless Steel Whistling Kettle - 4.5Litre,"5,999",0,0%
Portable Folding Kettle Silicone Electric Kettle,"4,550",4.3,62%
Saisho 1.8 Liters Stainless Kettle,"6,000",4.7,5%
Electric Kettle 2.2L,"6,000",5,33%
